product,category,base_price,quality,brand_strength,availability,support
Premium Headphones,Audio,8999,85,80,75,70
Wireless Earbuds,Audio,3499,78,72,82,65
Gaming Laptop 15",Computers,89999,88,84,68,72
Ultrabook 14",Computers,74999,86,82,60,75
Smartphone Pro 6.7,Mobile,69999,90,88,70,78
Budget Smartphone,Mobile,12999,72,65,85,60
4K Smart TV 55,TV,44999,84,80,66,70
Air Conditioner 1.5T,Home Appliances,35999,82,76,64,68
Front Load Washing Machine,Home Appliances,27999,80,74,72,66
Mirrorless Camera X,Photography,64999,86,83,58,72
Bluetooth Speaker,Audio,2499,75,68,88,60
Mechanical Keyboard,Accessories,5999,82,70,78,64
Fitness Band,Wearables,1999,70,62,90,58
Smartwatch S,Wearables,12999,80,74,78,66
Microwave Oven 28L,Home Appliances,13999,78,70,82,64
Refrigerator 260L,Home Appliances,26999,81,76,74,68
Router WiFi 6,Networking,5999,79,68,86,62
DSLR Entry,Photography,39999,78,72,60,66
Noise Cancelling Headphones,Audio,11999,86,82,70,74
Portable SSD 1TB,Storage,7999,84,78,88,70
